"139e -- Väestönmuutokset sukupuolen mukaan eri vuosien väestöennusteissa, koko maa"

"Vuosi";"Tiedot";"Yhteensä Todelliset tiedot";"Yhteensä Väestöennuste 2021";"Yhteensä Väestöennuste 2019";"Yhteensä Väestöennuste 2018";"Yhteensä Väestöennuste 2015";"Yhteensä Väestöennuste 2012";"Yhteensä Väestöennuste 2009";"Yhteensä Väestöennuste 2007"
"2007";"Kuolleet";49077;.;.;.;.;.;.;49232
"2008";"Kuolleet";49094;.;.;.;.;.;.;49467
"2009";"Kuolleet";49883;.;.;.;.;.;49144;49723
"2010";"Kuolleet";50887;.;.;.;.;.;49404;49979
"2011";"Kuolleet";50585;.;.;.;.;.;49674;50253
"2012";"Kuolleet";51707;.;.;.;.;51269;49971;50544
"2013";"Kuolleet";51472;.;.;.;.;51512;50232;50811
"2014";"Kuolleet";52186;.;.;.;.;51789;50548;51119
"2015";"Kuolleet";52492;.;.;.;52412;52060;50824;51398
"2016";"Kuolleet";53923;.;.;.;52694;52327;51112;51689
"2017";"Kuolleet";53722;.;.;.;52950;52578;51400;51988
"2018";"Kuolleet";54527;.;.;53496;53244;52863;51681;52293
"2019";"Kuolleet";53949;.;53831;53761;53531;53125;51978;52604
"2020";"Kuolleet";55488;.;54054;54022;53838;53407;52266;52917
"2021";"Kuolleet";.;55987;54308;54301;54141;53689;52567;53243
"2022";"Kuolleet";.;56158;54589;54596;54474;54002;52885;53584
"2023";"Kuolleet";.;56362;54892;54901;54834;54351;53256;53980
"2024";"Kuolleet";.;56605;55243;55271;55218;54744;53627;54407
"2025";"Kuolleet";.;56883;55604;55676;55641;55166;54061;54903
"2026";"Kuolleet";.;57244;56038;56109;56155;55702;54568;55458
"2027";"Kuolleet";.;57625;56492;56585;56681;56215;55076;56079
"2028";"Kuolleet";.;58089;57012;57130;57290;56849;55690;56741
"2029";"Kuolleet";.;58576;57585;57720;57964;57507;56307;57460
"2030";"Kuolleet";.;59139;58210;58354;58660;58224;57027;58211
